epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.7032,1.12019,1.58519,1.37584,0.97591,0.93289,0.98868,0.62493,1.2499,1.17627,1.32367,0.000649123,0.000649123,0.000649123
2,173.864,1.1249,1.04807,1.30724,0.92746,0.9396,0.98123,0.63931,1.16264,1.13082,1.46869,0.00127237,0.00127237,0.00127237
3,261.311,1.1509,1.01756,1.33929,0.94008,0.94759,0.97382,0.66701,1.07325,1.1085,1.35396,0.00185161,0.00185161,0.00185161
4,353.506,1.08989,0.91613,1.30947,0.81876,0.78832,0.89614,0.58309,1.14676,1.2777,1.28123,0.001802,0.001802,0.001802
5,446.46,1.08731,0.89373,1.30194,0.96659,0.94631,0.98581,0.67301,1.13366,0.83138,1.27692,0.001736,0.001736,0.001736
6,539.436,1.06393,0.82851,1.27148,0.94497,0.97987,0.99145,0.77468,0.79203,0.61896,1.06769,0.00167,0.00167,0.00167
7,630.144,1.08571,0.79222,1.27514,0.99691,0.96644,0.99359,0.76806,0.86602,0.58315,1.08501,0.001604,0.001604,0.001604
8,720.271,1.00759,0.73894,1.24594,0.97357,0.98875,0.9944,0.80661,0.72651,0.53582,1.01546,0.001538,0.001538,0.001538
9,810.084,0.99256,0.70863,1.23764,0.98543,1,0.99399,0.79821,0.8087,0.52223,1.0384,0.001472,0.001472,0.001472
10,900.057,1.02894,0.7143,1.2582,0.99541,0.99329,0.995,0.77646,0.86684,0.52603,1.13069,0.001406,0.001406,0.001406
11,989.154,0.99514,0.68115,1.23981,0.98668,0.99435,0.995,0.82504,0.67837,0.44031,0.97514,0.00134,0.00134,0.00134
12,1079.16,0.97278,0.65976,1.20744,0.99229,0.99329,0.99339,0.71399,1.01619,0.53474,1.18736,0.001274,0.001274,0.001274
13,1169.06,0.97274,0.63272,1.21343,0.96289,1,0.99325,0.81838,0.69894,0.43801,0.9945,0.001208,0.001208,0.001208
14,1257.13,0.9515,0.63637,1.20921,0.99333,0.99964,0.995,0.84642,0.68353,0.41788,0.9759,0.001142,0.001142,0.001142
15,1344.96,0.94853,0.60773,1.21552,0.99735,1,0.995,0.84863,0.6253,0.39338,0.95445,0.001076,0.001076,0.001076
16,1435.56,0.91125,0.56725,1.17781,0.99991,1,0.995,0.8547,0.61669,0.37142,0.95496,0.00101,0.00101,0.00101
17,1527.47,0.92122,0.58741,1.18296,0.99827,1,0.995,0.82353,0.66002,0.37686,0.97633,0.000944,0.000944,0.000944
18,1619.34,0.87058,0.54983,1.16999,0.99957,1,0.995,0.81569,0.72424,0.36879,1.00346,0.000878,0.000878,0.000878
19,1710.69,0.85806,0.53566,1.14101,1,0.99872,0.995,0.77628,0.8558,0.3928,1.04657,0.000812,0.000812,0.000812
20,1801.72,0.84288,0.50975,1.13413,0.99107,1,0.99473,0.81568,0.717,0.34593,0.99984,0.000746,0.000746,0.000746
21,1892.94,0.7991,0.44621,1.11572,1,0.99707,0.995,0.76067,0.87001,0.42903,1.05946,0.00068,0.00068,0.00068
22,1983.54,0.78666,0.41422,1.10425,0.99332,0.99841,0.9946,0.79334,0.79262,0.38673,1.00558,0.000614,0.000614,0.000614
23,2075.03,0.7788,0.40513,1.09574,0.9929,1,0.995,0.79201,0.84365,0.39907,1.05468,0.000548,0.000548,0.000548
24,2165.51,0.75509,0.38734,1.09111,0.99216,1,0.99487,0.80238,0.807,0.38212,1.01716,0.000482,0.000482,0.000482
25,2253.95,0.73149,0.37551,1.05946,0.9995,1,0.995,0.84142,0.63801,0.31514,0.94539,0.000416,0.000416,0.000416
26,2342.59,0.75996,0.37537,1.07276,0.99973,1,0.995,0.85165,0.62409,0.32387,0.9501,0.00035,0.00035,0.00035
27,2432.76,0.73977,0.36762,1.05822,0.99966,1,0.995,0.821,0.7246,0.34078,0.98166,0.000284,0.000284,0.000284
28,2524.2,0.68873,0.34817,1.04177,0.99953,1,0.995,0.85491,0.59947,0.30224,0.9405,0.000218,0.000218,0.000218
29,2615.97,0.67355,0.33973,1.03567,0.99901,1,0.995,0.85856,0.60508,0.29947,0.94068,0.000152,0.000152,0.000152
30,2706.29,0.6687,0.33632,1.02511,0.99946,1,0.995,0.83796,0.65207,0.30734,0.9579,8.6e-05,8.6e-05,8.6e-05
